Pankracy,Więckowski,8559190195
Dorota,Sławiński,1321760558
Leon,Majka,0362381058
Eugeniusz,Antczak,8307615059
Aleksy,Stelmach,1649791120
Porfiry,Adamczyk,9241962410
Cecylia,Jagiełło,3846226746
Albert,Furman,9746778721
Wanda,Grzesiak,5964273840
Arkadiusz,Marczak,3510619601
Konrad,Kubicki,3298751409
Efrem,Tomala,8034233919
Herman,Piątkowski,4808059569
Renata,Stachurski,8620035026
Janina,Kowalski,0627171389
Sebastian,Rybicki,8581363868
Michał,Krajewski,0298794728
Nadzieja,Jurkowski,2053113515
Karol,Brzozowski,6425367041
Donald,Szulc,7414304311
Samuel,Wiącek,8121558109
Joachim,Zakrzewski,3196101012
Marcin,Zwoliński,5496054689
Cecylia,Rudziński,1604375730
Regina,Królikowski,0611522670
Ginewra,Misiak,7083906067
Patrycjusz,Kwiatkowski,4092946107
Henryka,Konieczny,6859552286
Polikarp,Skowroński,5686802490
Julian,Siwek,1509494314
Kalistrat,Drabik,5063172176
Dorota,Kuliński,1203031846
Izydor,Wilczek,1375820240
Liliana,Stachurski,5055670431
Patrycja,Kalinowski,8516469362
Irma,Sołtys,8596203289
Maksymilian,Dąbkowski,2330063034
Klaudia,Banach,9720306131
Jan,Cygan,9623841643
Liza,Górniak,2133349694
Patrycjusz,Tomala,1690268459
Orestes,Łukasik,3815820300
Ewa,Pasternak,2085434170
Gerazym,Rojek,9142790727
Serafin,Pilch,4152690058
Joanna,Lipka,5437567586
Robert,Stelmach,0794718237
Arnold,Olejnik,6681896864
Maja,Kogut,4783706173
Monika,Dudziński,8374041661
Patrycjusz,Zygmunt,9883577221
Anastazja,Kubacki,0303317452
Leonid,Kamiński,6935953938
Bernard,Chojnacki,3140146878
Alan,Bednarek,3994075764
Ludwika,Janusz,3230754770
Emil,Serafin,0177957592
Julian,Michalik,9322738749
Sara,Kalisz,0277037985
Pelagia,Kłos,6385876063
Tymoteusz,Tokarski,1880468043
Jakub,Pietrzak,4288351014
Erast,Grzybowski,8804346830
Orestes,Frączek,8562958739
Platon,Więcek,2075167082
Erast,Hajduk,2599002500
Gabriela,Mróz,3383030422
Dorota,Stachowicz,1968821081
Marianna,Maciąg,7892530897
Brygida,Lasota,0787016676
Renata,Budziński,4714989389
Bertram,Bagiński,8691427403
Magnus,Dudziak,1782245708
Oliwia,Madej,0999076400
Angela,Tomaszewski,2268772950
Żaneta,Mrozek,9799125864
Justyna,Pietrzyk,0322069640
Paula,Frączek,4849824175
Brajan,Jankowiak,8608005586
Ksenia,Misztal,5323917930
Irena,Dudek,7145582282
Gwido,Czekaj,2654263914
Onufry,Grzybowski,8021030956
Rajnold,Kalisz,3382169570
Nikodem,Bartkowiak,2072781029
Alwar,Juszczak,5182351139
Maksym,Korzeniowski,6872927793
Fryderyk,Czech,2064469973
Wiktor,Mazur,4652441570
Ksenia,Małek,6844493017
Jerzy,Sowa,4246254854
Serafina,Chojnacki,4970368029
Walentyn,Szatkowski,4709137984
Tekla,Adamiak,4766132786
Nadzieja,Florek,5308187143
Teodor,Kolasa,1415506145
Tymoteusz,Kot,1686328147
Helena,Urbański,8525116734
Seweryn,Sokół,6440224112
Patryk,Zdunek,9955597184
Jan,Pytel,1938110742
Kazimierz,Łapiński,4847263572
Renata,Kopczyński,2612709665
Zachary,Stec,4257637123
Klara,Przybyła,6780868258
Agata,Olejnik,2164593293
Spirydion,Sochacki,5299134849
Rebeka,Zajączkowski,6038154795
Nina,Jaros,4342100440
Wanda,Popławski,7357251141
Ernest,Urbański,7399510031
Zachary,Niewiadomski,1639946675
Bibianna,Krysiak,8036320310
Eleonora,Jakubiak,4107601805
Franciszka,Wojciechowski,9936604050
Robert,Więcek,8381278902
Prokles,Adamowicz,3841127824
Adelajda,Klimek,5363528077
Elwira,Gaweł,0819117577
Sylwia,Orłowski,5365008151
Konstanty,Antczak,7592300590
Wirginia,Stawicki,4307147141
Brygida,Piotrowicz,1593429977
Platon,Szczepański,2905910127
Gertruda,Kogut,0060612939
Agnieszka,Jurek,2930786069
Laurencjusz,Napierała,3584081375
Florian,Kisiel,4767982063
Malwina,Wasiak,1580494979
Pantaleon,Radecki,2155219838
Gracja,Wąsik,2571920792
Alan,Niedziela,1721344680
Stefan,Furman,5790544169
Seweryn,Cybulski,8589572363
Jeremi,Lipka,8958273127
Walentyna,Stachowiak,1405732844
Prokul,Książek,6294505704
Paula,Wysocki,2834907836
Marceli,Sołtysiak,5648258941
Rajmund,Szcześniak,5041627333
Aleksy,Konieczny,4513006676
Artur,Siedlecki,0333067433
Rudolf,Świątek,6685813326
Roger,Florczak,0226282916
Angela,Bilski,4294768440
Arseniusz,Janus,3758348419
Stanisław,Szyszka,4580799507
Sergiusz,Witkowski,0462108395
Rajnold,Karpiński,2241235177
Arkadiusz,Prus,0483258570
Walentyn,Janik,0554512394
Karolina,Pytel,0836696082
Marcin,Dudek,7416469049
Larysa,Szczerba,0194828398
Liza,Morawski,3554441365
Stefania,Andrzejewski,9618147679
Beniamin,Czekaj,4806605179
Dionizy,Kubiak,9370283994
Abraham,Piątkowski,8664590941
Maurycy,Żuk,2306478006
Karol,Kostrzewa,8533659401
Alicja,Grzybowski,8738619608
Wincenty,Pietrzyk,5322730134
Serafina,Dudziński,7510907612
Patrycja,Kwiatkowski,3209547226
Terencjusz,Książek,1341470343
Artur,Augustyniak,8281347751
Erast,Żebrowski,6964439535
Nadzieja,Augustyniak,6054419568
Żaneta,Turek,6518356406
Hieronim,Januszewski,0135216732
Ansgary,Białas,6160789115
Włodzimierz,Ślusarczyk,4088986272
Abraham,Dudziak,4944531392
Oskar,Mikulski,9557367871
Florencja,Wawrzyniak,4338117933
Magdalena,Nowaczyk,4941382021
Barbara,Ptak,6905792215
Alan,Kulig,4163781301
Mojżesz,Krzyżanowski,4487923331
Edgar,Wróbel,5782391041
Malwina,Górniak,5372872114
Gabriel,Kępa,1552489176
Leonard,Bujak,2110685887
Korneli,Krupa,1994083486
Natanael,Czyżewski,1231471768
Dawid,Sienkiewicz,6875424079
Grzegorz,Zych,3735216612
Kornel,Gawlik,9025768823
Ewelina,Chmiel,9048530014
Oskar,Pawlak,8373025291
Bertrand,Misztal,9501280922
Judyta,Wieczorek,3844859063
Elwira,Wroński,3689626101
Alina,Gąsior,7115617648
Anastazja,Musiał,7569416390
Walenty,Golec,4190189734
Helena,Rakowski,7132119567
Walentyna,Suski,8787948599
Magdalena,Kawa,6704386936
Erwin,Rudzki,7191729767
Gloria,Skóra,4033081311
Galfryd,Kubacki,6691540146
Fryderyk,Strzelczyk,7189061871
Penelopa,Włodarczyk,6356500636
Laurencja,Chojnacki,8786903197
Dorota,Michałowski,4198774174
Weronika,Dziuba,0047671490
Anatol,Nowakowski,5518566499
Feliks,Wnuk,5705579286
Renata,Tracz,6043851463
Hugo,Czyżewski,9492499402
Herbert,Tomczak,5595367954
Nestor,Lewandowski,3557976196
Ewelina,Wiśniewski,9866047330
Eugeniusz,Bąkowski,6810467811
Wacław,Góra,3026658042
Michał,Witkowski,4157264377
Rafał,Szczygieł,7131682170
Roman,Nowiński,8740795194
Roland,Misiak,3328374989
Samuel,Kuciński,5186958569
Aleksandra,Janas,2284584997
Nazariusz,Wróbel,9204672178
Piotr,Wójcicki,0729599803
Włodzimierz,Różycki,7108854894
Ksenia,Golec,7398381368
Franciszka,Borkowski,2945628835
Andżelika,Masłowski,6123404750
Spirydion,Matusiak,1014052838
Walerian,Wolny,3941712463
Cecylia,Sowiński,3610861090
Albert,Rosa,8120896969
Prokul,Lipski,9987418338
Leila,Maliszewski,5840490624
Jakub,Jędrzejczyk,0520826917
Konstanty,Domański,0777472079
Julia,Świerczyński,1077258776
Roderyk,Błaszczak,6054752508
Beatrycze,Urbanek,2689075256
Paulina,Gwóźdź,2339946282
Serafina,Maślanka,8467605237
Bruno,Pietras,1082707726
Serafina,Twardowski,8295184676
Alfred,Bednarczyk,8053291248
Dariusz,Wojciechowski,3696575593
Sybilla,Orzechowski,2168237702
Adelajda,Kulig,5565290172
Eudoksja,Kisiel,8392442943
Maurycy,Kuc,1727334977
Lucja,Kamiński,3544623148
Dominik,Urbaniak,2503827117
Helena,Kaczmarek,2322368659
Izajasz,Klimek,4830341760
Randolf,Nowakowski,2178539663
Joanna,Gąsiorowski,4268074245
Regina,Płonka,8292312016
Klementyna,Pająk,0240983415
